1@country@korea@韓国
2@country@japan@日本
3@country@china@中国
4@country@america@米国
5@country@england@英国
6@country@germany@ドイツ
7@country@russia@ロシア
8@country@philippines@フィリピン
9@country@singapore@シンガポール
10@country@indonesia@インドネシア
11@country@brazil@ブラジル
12@country@mexico@メキシコ
13@country@colombia@コロンビア
14@country@austrailia@オーストラリア
15@country@belgium@ベルギー
16@country@thailand@タイ
17@country@chile@チリ
18@country@italy@イタリア
19@country@argentine@アルゼンチン
20@country@holland@オランダ
21@country@spain@スペイン
22@country@turkey@トルコ
23@country@france@フランス
24@country@canada@カナダ
25@country@taiwan@台湾
26@country@vietnam@ベトナム
27@fruits@apple@謝罪
28@fruits@orange@オレンジ
29@fruits@banana@バナナ
30@fruits@pineapple@パイナップル
31@fruits@grape@ブドウ
32@fruits@tomato@トマト
33@fruits@mango@マンゴー
34@fruits@kiwi@キウイ
35@fruits@pear@梨
36@fruits@grapefruit@グレープフルーツ
37@fruits@melon@メロン
38@fruits@watermelon@スイカ
39@fruits@strawberry@イチゴ
40@fruits@pulm@圧迫
41@fruits@tangerine@ミカン
42@fruits@peach@桃
43@fruits@persimmon@柿
44@fruits@pomegranate@ザクロ
45@fruits@cherry@チェリー
46@sports@football@フットボール
47@sports@baseball@野球
48@sports@basketball@バスケットボール
49@sports@volleyball@バレーボール
50@sports@handball@ハンドボール
51@sports@bowling@ボーリング
53@sports@wrestling@レスリング
54@sports@gymnestics@体操
55@sports@badminton@バドミントン
56@sports@archery@アーチェリー
57@sports@fencing@フェンシング
58@sports@weightlifting@重量挙げ
59@sports@table tennis@卓球
60@sports@swimming@水泳
61@sports@tennis@テニス
62@sports@ski@スキー
63@sports@ice hockey@アイスホッケー
160@50 words-1@around@周り
161@50 words-1@complain@文句を言う
162@50 words-1@improve@改善する
163@50 words-1@sweet@甘い
164@50 words-1@able@できる
165@50 words-1@arrange@アレンジ
166@50 words-1@complete@コンプリート
167@50 words-1@from@から
168@50 words-1@govern@支配する
169@50 words-1@notice@通知
170@50 words-1@represent@代表する
171@50 words-1@precious@貴重な
172@50 words-1@strength@力
173@50 words-1@work@作業
174@50 words-1@complex@複合体
175@50 words-1@claim@請求
176@50 words-1@flavor@風味
177@50 words-1@honest@正直な
178@50 words-1@include@含める
179@50 words-1@order@注文
180@50 words-1@precise@正確
181@50 words-1@reputation@評判
182@50 words-1@stretch@ストレッチ
183@50 words-1@well@よく
184@50 words-1@above@上の
185@50 words-1@against@に対して
186@50 words-1@devote@捧げる
187@50 words-1@harm@害
188@50 words-1@grade@グレード년
189@50 words-1@income@所得
190@50 words-1@ordinary@普通の
191@50 words-1@march@行進
192@50 words-1@provide@提供する
193@50 words-1@realize@実現する
194@50 words-1@abroad@海外
195@50 words-1@before@前
196@50 words-1@compose@合成する
197@50 words-1@gradual@徐々に
198@50 words-1@mark@マーク
199@50 words-1@reason@理由
200@50 words-1@shy@シャイ
201@50 words-1@therefore@したがって、
202@50 words-1@absent@不在
203@50 words-1@ago@前
204@50 words-1@classify@分類する
205@50 words-1@turn@順番
206@50 words-1@except for@を除いて
207@50 words-1@graduate@졸卒業
208@50 words-2@indeed@確かに
209@50 words-2@original@元の
210@50 words-2@receive@受け取る
211@50 words-2@publish@公開する
212@50 words-2@require@要求する
213@50 words-2@agree@同意する
214@50 words-2@buy-bought@買う-買った
215@50 words-2@comprehend@理解する
216@50 words-2@cover@カバー
217@50 words-2@independent@独立した
218@50 words-2@structure@構造
219@50 words-2@spread@普及
220@50 words-2@whatever@なんでも
221@50 words-2@debate@論争
222@50 words-2@announce@発表する
223@50 words-2@certain@ある
224@50 words-2@fault@不具合
225@50 words-2@reserve@予備
226@50 words-2@so@それで
227@50 words-2@struggle@闘争
228@50 words-2@annoy@悩ます
229@50 words-2@as@として
230@50 words-2@concentrate on@集中する
231@50 words-2@indicate@示す
232@50 words-2@recognize@認識する
233@50 words-2@resist@抵抗する
234@50 words-2@violent@暴力的な
235@50 words-2@boring@退屈な
236@50 words-2@emphasize@強調する
237@50 words-2@press@押す
238@50 words-2@recommend@お勧めする
239@50 words-2@resource@資源
240@50 words-2@decide to@決める
241@50 words-2@employ@採用する
242@50 words-2@function@関数
243@50 words-2@match@一致
244@50 words-2@flow@流れ
245@50 words-2@exercise@運動
246@50 words-2@purchase@購入)
247@50 words-2@tough@強靭な
248@50 words-2@accept@受け入れる
249@50 words-2@climb@登る
250@50 words-2@belong to@に属する
251@50 words-2@industry@業界
252@50 words-2@mistake@間違い
253@50 words-2@material@材料
254@50 words-2@outside@外側
255@50 words-2@recover@回復します
256@50 words-2@responsible@責任ある
257@50 words-2@society@社会
