271@중학교기초II-(5/5)@teenager	@십대소년소녀
272@중학교기초II-(5/5)@	president@대통령, 장
273@중학교기초II-(5/5)@	arm@팔
274@중학교기초II-(5/5)@	meal@식사
275@중학교기초II-(5/5)@	skill@기술
276@중학교기초II-(5/5)@	contest@경쟁
277@중학교기초II-(5/5)@	prize@상,상품
278@중학교기초II-(5/5)@	chance@기회
279@중학교기초II-(5/5)@	shape@모양,건강상태
280@중학교기초II-(5/5)@	difference@다름,차이
281@중학교기초II-(5/5)@	wall@벽
282@중학교기초II-(5/5)@	smell@냄새
283@중학교기초II-(5/5)@	interest@관심을 끌다
284@중학교기초II-(5/5)@	judge@재판관,판단하다
285@중학교기초II-(5/5)@	cause@원인(이되다)
286@중학교기초II-(5/5)@	cover@덮다,덮개
287@중학교기초II-(5/5)@	travel@여행(하다)
288@중학교기초II-(5/5)@	guess@추측(하다)
289@중학교기초II-(5/5)@	catch@잡다
290@중학교기초II-(5/5)@	wash@씻다
291@중학교기초II-(5/5)@	hurt@다치게하다,상처
292@중학교기초II-(5/5)@	introduce@소개하다
293@중학교기초II-(5/5)@	upset@속상한,당황한,황당한
294@중학교기초II-(5/5)@	tired@피곤한,싫증난
295@중학교기초II-(5/5)@	proud@자랑스러운
296@중학교기초II-(5/5)@	dirty@더러운
297@중학교기초II-(5/5)@	dark@어두운, 어둠
298@중학교기초II-(5/5)@	whole@전체
299@중학교기초II-(5/5)@	later@나중에, 더 뒤의
300@중학교기초II-(5/5)@	once@한번, 일단~~하면
