1@중학교기초-(2/5)@person@사람, 인물
2@중학교기초-(2/5)@clothes@옷, 의복
3@중학교기초-(2/5)@movie@영화
4@중학교기초-(2/5)@activity@활동
5@중학교기초-(2/5)@example@예, 모범
6@중학교기초-(2/5)@letter@편지, 글자
7@중학교기초-(2/5)@fire@화재, 불
8@중학교기초-(2/5)@minute@분, 순간
9@중학교기초-(2/5)@part@부분, 가르다
10@중학교기초-(2/5)@plan@계획(하다)
11@중학교기초-(2/5)@plant@식물, 공장
12@중학교기초-(2/5)@park@공원, 주차하다
13@중학교기초-(2/5)@call@통화하다, 부르다
14@중학교기초-(2/5)@try@시도하다, 노력하다
15@중학교기초-(2/5)@need@필요(하다)
16@중학교기초-(2/5)@fun@재미, 장난
17@중학교기초-(2/5)@future@미래
18@중학교기초-(2/5)@keep@유지하다, 지키다
19@중학교기초-(2/5)@listen@듣다
20@중학교기초-(2/5)@find@찾아내다, 발견하다
21@중학교기초-(2/5)@learn@배우다, 알아내다
22@중학교기초-(2/5)@mean@의미하다
23@중학교기초-(2/5)@last@지난, 마지막의
24@중학교기초-(2/5)@each@각각
25@중학교기초-(2/5)@another@또 하나의
26@중학교기초-(2/5)@same@같은
27@중학교기초-(2/5)@hard@단단한, 어려운
28@중학교기초-(2/5)@also@~도 또한
29@중학교기초-(2/5)@really@참으로, 정말
30@중학교기초-(2/5)@any@무슨, 약간의
