151@중학교기초II-(1/5)@	pet@애완동물
152@중학교기초II-(1/5)@	vegetable@채소,야채
153@중학교기초II-(1/5)@	leaf@잎
154@중학교기초II-(1/5)@	forest@숲
155@중학교기초II-(1/5)@	area@지역,분야
156@중학교기초II-(1/5)@	neighbor@이웃
157@중학교기초II-(1/5)@	art@미술,예술
158@중학교기초II-(1/5)@	poem@시
159@중학교기초II-(1/5)@	subject@과목,주제
160@중학교기초II-(1/5)@	bottle@병
161@중학교기초II-(1/5)@	machine@기계
162@중학교기초II-(1/5)@	fact@사실
163@중학교기초II-(1/5)@	rule@규칙,지배(하다)
164@중학교기초II-(1/5)@	break@깨뜨리다,휴식
165@중학교기초II-(1/5)@	check@점검(하다)
166@중학교기초II-(1/5)@	stay@머무르다,~인채있다
167@중학교기초II-(1/5)@	cold@추운,감기
168@중학교기초II-(1/5)@	bring@가져(데려)오다
169@중학교기초II-(1/5)@	build@짓다,건축하다
170@중학교기초II-(1/5)@	join@가입하다
171@중학교기초II-(1/5)@	lose@잃다,지다
172@중학교기초II-(1/5)@	die@죽다
173@중학교기초II-(1/5)@	large@큰,넓은
174@중학교기초II-(1/5)@	sick@병든,아픈
175@중학교기초II-(1/5)@	busy@바쁜,번화한
176@중학교기초II-(1/5)@	real@진짜의,현실의
177@중학교기초II-(1/5)@	most@대부분,가장
178@중학교기초II-(1/5)@	late@늦은,늦게
179@중학교기초II-(1/5)@	together@함께,같이
180@중학교기초II-(1/5)@	even@~조차, 더욱~
