181@중학교기초II-(2/5)@	health@건강
182@중학교기초II-(2/5)@	holiday@공휴일
183@중학교기초II-(2/5)@	gift@선물,타고난 재능
184@중학교기초II-(2/5)@	field@들판,경기장,분야
185@중학교기초II-(2/5)@site	@장소,현장,웹사이트
186@중학교기초II-(2/5)@	goal@목표,골
187@중학교기초II-(2/5)@	effect@영향,결과,효과
188@중학교기초II-(2/5)@	sign@표지,신호,서명하다
189@중학교기초II-(2/5)@	report@보고하다
190@중학교기초II-(2/5)@	order@순서,질서,명령(하다)
191@중학교기초II-(2/5)@	experience@경험(하다)
192@중학교기초II-(2/5)@	result@결과
193@중학교기초II-(2/5)@	ride@타다,타기
194@중학교기초II-(2/5)@	wish@바라다,소원
195@중학교기초II-(2/5)@	half@절반의
196@중학교기초II-(2/5)@	past@지나간,과거
197@중학교기초II-(2/5)@	carry@가지고 가다,나르다
198@중학교기초II-(2/5)@	draw@그리다,끌다
199@중학교기초II-(2/5)@	spend@(시간,돈을) 쓰다
200@중학교기초II-(2/5)@	wait@기다리다
201@중학교기초II-(2/5)@	decide@결정하다
202@중학교기초II-(2/5)@	choose@고르다,선택하다
203@중학교기초II-(2/5)@	popular@인기있는,대중의
204@중학교기초II-(2/5)@	difficult@어려운
205@중학교기초II-(2/5)@	foreign@외국의
206@중학교기초II-(2/5)@	able@~할수있는
207@중학교기초II-(2/5)@	full@가득찬
208@중학교기초II-(2/5)@	wrong@틀린,잘못된
209@중학교기초II-(2/5)@	usually@보통,일반적으로
210@중학교기초II-(2/5)@	never@결코~않다
